reporterCode,cmdCode,status,rows,file,message,checked_at
178,260200,downloaded,4,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_178\178_260200_M_2019_partners.csv,,2026-07-15T20:51:24
178,282010,no_data,0,,,2026-07-15T20:51:24
178,282090,no_data,0,,,2026-07-15T20:51:24
178,811100,no_data,0,,,2026-07-15T20:51:24
184,260200,no_data,0,,,2026-07-15T20:51:24
184,282010,no_data,0,,,2026-07-15T20:51:24
184,282090,no_data,0,,,2026-07-15T20:51:24
184,811100,no_data,0,,,2026-07-15T20:51:24
188,260200,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_188\188_260200_M_2019_partners.csv,,2026-07-15T20:51:24
188,282010,downloaded,7,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_188\188_282010_M_2019_partners.csv,,2026-07-15T20:51:24
188,282090,downloaded,4,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_188\188_282090_M_2019_partners.csv,,2026-07-15T20:51:25
188,811100,no_data,0,,,2026-07-15T20:51:25
384,260200,no_data,0,,,2026-07-15T20:51:25
384,282010,no_data,0,,,2026-07-15T20:51:25
384,282090,downloaded,3,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_384\384_282090_M_2019_partners.csv,,2026-07-15T20:51:25
384,811100,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_384\384_811100_M_2019_partners.csv,,2026-07-15T20:51:25
191,260200,downloaded,3,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_191\191_260200_M_2019_partners.csv,,2026-07-15T20:51:25
191,282010,downloaded,7,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_191\191_282010_M_2019_partners.csv,,2026-07-15T20:51:25
191,282090,downloaded,10,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_191\191_282090_M_2019_partners.csv,,2026-07-15T20:51:25
191,811100,downloaded,8,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_191\191_811100_M_2019_partners.csv,,2026-07-15T20:51:25
192,260200,no_data,0,,,2026-07-15T20:51:25
192,282010,no_data,0,,,2026-07-15T20:51:25
192,282090,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_192\192_282090_M_2019_partners.csv,,2026-07-15T20:51:25
192,811100,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_192\192_811100_M_2019_partners.csv,,2026-07-15T20:51:25
531,260200,no_data,0,,,2026-07-15T20:51:25
531,282010,no_data,0,,,2026-07-15T20:51:25
531,282090,no_data,0,,,2026-07-15T20:51:25
531,811100,no_data,0,,,2026-07-15T20:51:25
196,260200,no_data,0,,,2026-07-15T20:51:25
196,282010,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_196\196_282010_M_2019_partners.csv,,2026-07-15T20:51:25
196,282090,downloaded,4,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_196\196_282090_M_2019_partners.csv,,2026-07-15T20:51:25
196,811100,no_data,0,,,2026-07-15T20:51:25
203,260200,downloaded,11,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_203\203_260200_M_2019_partners.csv,,2026-07-15T20:51:25
